,page,country,rev_id,predictions,FIPS,Name,Type,TimeFrame,Data (M),Population,_merge
4760,Peter Harwood,Guernsey,722295712,Stub,,,,,,,left_only
4769,Rikard Long,Faroese,722336332,Start,,,,,,,left_only
4770,Sigurð Joensen,Faroese,722336979,Start,,,,,,,left_only
4811,Enrique Flores Lanza,Hondura,722442093,Stub,,,,,,,left_only
4841,Jógvan Poulsen (1854–1941),Faroese,722590461,Start,,,,,,,left_only
4882,Martin Storey (politician),Guernsey,722806951,Stub,,,,,,,left_only
4908,František Sláma (politician),Czech Republic,722937211,Stub,,,,,,,left_only
4924,Kevin C. Lewis,Jersey,722988899,Stub,,,,,,,left_only
4941,Lee Wu-jong,South Korean,723064614,Stub,,,,,,,left_only
4967,Themba N. Masuku,Swaziland,723121670,Stub,,,,,,,left_only
4978,Jan Kubice,Czech Republic,723151837,Stub,,,,,,,left_only
4980,Tuitama Talalelei Tuitama,Samoan,723152770,Stub,,,,,,,left_only
4981,Renan Inestroza,Hondura,723153856,Stub,,,,,,,left_only
4995,Kamil Jankovský,Czech Republic,723207013,Stub,,,,,,,left_only
5013,Manuel Enrique Araujo,Salvadoran,723277343,Start,,,,,,,left_only
5021,Mauricio Oliva,Hondura,723304712,Stub,,,,,,,left_only
5082,Christian Groepe,Cape Colony,723563811,B,,,,,,,left_only
5083,Karim Mammadbeyov,Dagestani,723563977,Start,,,,,,,left_only
5148,Shota Shamatava,Abkhazia,723736482,Stub,,,,,,,left_only
5194,Shawn Richards,Saint Kitts and Nevis,723892438,Start,,,,,,,left_only
5197,Richard Muyej Mangez,"Congo, Dem. Rep. of",723913158,Stub,,,,,,,left_only
5277,Gordan Georgiev,Macedonia,724075817,Stub,,,,,,,left_only
5350,Slobodan Čašule,Macedonia,724421215,Stub,,,,,,,left_only
5368,Spiro Ristovski,Macedonia,724502588,Stub,,,,,,,left_only
5411,Jacob Vestergaard,Faroese,724674137,Start,,,,,,,left_only
5415,Václav Vacek,Czech Republic,724691268,Stub,,,,,,,left_only
5471,Rob Duhamel,Jersey,724891592,Stub,,,,,,,left_only
5492,William Hume (Cape politician),Cape Colony,724976433,Start,,,,,,,left_only
5507,Johan Simonsen,Faroese,725030656,Stub,,,,,,,left_only
5532,Armando Calidonio,Hondura,725105423,Stub,,,,,,,left_only
5546,Sébastien Impeto Pengo,"Congo, Dem. Rep. of",725141090,Stub,,,,,,,left_only
5662,Kári P. Højgaard,Faroese,725288194,Start,,,,,,,left_only
5673,Carlos Urbizo,Hondura,725343188,Stub,,,,,,,left_only
5679,Čestmír Císař,Czech Republic,725362978,C,,,,,,,left_only
5703,Mauricio Villeda,Hondura,725459626,Stub,,,,,,,left_only
5707,Duvalle,Saint Vincent and the Grenadines,725462724,Start,,,,,,,left_only
5720,Valon Saracini,Macedonia,725551017,Start,,,,,,,left_only
5721,Séry Bailly,Ivorian,725560428,Start,,,,,,,left_only
5722,Mile Zechevikj,Macedonia,725560890,Stub,,,,,,,left_only
5723,Nikola Spasovski,Macedonia,725570133,Stub,,,,,,,left_only
5724,Vančo Šontevski,Macedonia,725570918,Stub,,,,,,,left_only
5725,Risto Gjorgjiev,Macedonia,725570977,Stub,,,,,,,left_only
5726,Vlado Misajlovski,Macedonia,725577168,Stub,,,,,,,left_only
5728,Miguel Andonie Fernández,Hondura,725591760,Stub,,,,,,,left_only
5757,Patrick J. D. Ryan,Jersey,725737326,Stub,,,,,,,left_only
5774,Dominic Fedee,Saint Lucian,725910626,Stub,,,,,,,left_only
5775,William Carey (Bailiff of Guernsey),Guernsey,725970969,Stub,,,,,,,left_only
5777,Howard Fergus,Montserratian,725980651,Start,,,,,,,left_only
5808,Yolani Batres,Hondura,726246603,Stub,,,,,,,left_only
5821,Philip Pierre,Saint Lucian,726374537,Stub,,,,,,,left_only
5822,Janez Evangelist Krek,Carniolan,726434981,Start,,,,,,,left_only
5961,Luca Rovinalti,Czech Republic,726666131,Stub,,,,,,,left_only
5983,Le Mamea Matatumua Ata,Samoan,726724077,Stub,,,,,,,left_only
5984,Tole’afoa Solomona To’ailoa,Samoan,726724455,Stub,,,,,,,left_only
6000,Kamil Krofta,Czech Republic,726762194,Start,,,,,,,left_only
6008,Manuel Antonio Alberto Zelaya,Hondura,726766670,Stub,,,,,,,left_only
6035,Yahya Al Khusaibi,Omani,726862168,Stub,,,,,,,left_only
6129,List of Danish High Commissioners in Greenland,Greenlandic,728026000,Stub,,,,,,,left_only
6165,List of Presidents of the House of Ariki,Cook Island,728378933,Stub,,,,,,,left_only
6176,Milan Štěch,Czech Republic,728506208,Stub,,,,,,,left_only
6184,Ksente Bogoev,Macedonia,728545577,Stub,,,,,,,left_only
6278,Laurent Akoun,Ivorian,729142061,Stub,,,,,,,left_only
6295,Kristin Michelsen,Faroese,729422866,C,,,,,,,left_only
6296,Sayyid Badr bin Hamad bin Hamood AlBusaidi,Omani,729426899,Start,,,,,,,left_only
6297,David Jones (Guernsey politician),Guernsey,729428763,Stub,,,,,,,left_only
6298,Etbin Henrik Costa,Carniolan,729435354,Start,,,,,,,left_only
6354,Antonín Janoušek,Czech Republic,729912438,Stub,,,,,,,left_only
6392,Bedřich Geminder,Czech Republic,730146355,Stub,,,,,,,left_only
6471,Hunter J. Francois,Saint Lucian,730756593,Stub,,,,,,,left_only
6485,Joaquín Eufrasio Guzmán,Salvadoran,730854147,Stub,,,,,,,left_only
6487,Francisco Malespín,Salvadoran,730864227,Stub,,,,,,,left_only
6548,Jonathan Sinclair,Pitcairn Islands,731458576,Stub,,,,,,,left_only
6595,James Sivewright,Cape Colony,731817397,C,,,,,,,left_only
6602,William Downes Griffith,Cape Colony,731908828,Start,,,,,,,left_only
6621,Neil Walter,Tokelauan,732100626,Start,,,,,,,left_only
6824,Clovis Kabongo Malemba,"Congo, Dem. Rep. of",733051797,Stub,,,,,,,left_only
6868,Daniel Aka Ahizi,Ivorian,733596387,Stub,,,,,,,left_only
6880,Rodrigo Ávila,Salvadoran,733791467,Start,,,,,,,left_only
7017,Lisbeth L. Petersen,Faroese,734668075,Start,,,,,,,left_only
7060,Karel Domin,Czech Republic,735174171,Start,,,,,,,left_only
7079,Bamba Mamadou,Ivorian,735408389,Stub,,,,,,,left_only
7099,Símun av Skarði,Faroese,735578210,Stub,,,,,,,left_only
7177,Mario Aguiñada Carranza,Salvadoran,736491718,Start,,,,,,,left_only
7188,Ferdinand Odžakov,Macedonia,736545789,Stub,,,,,,,left_only
7269,Harry Struben,South African Republic,736854878,Start,,,,,,,left_only
7283,Vincent Floissac,Saint Lucian,736890123,Start,,,,,,,left_only
7284,George Odlum,Saint Lucian,736890129,GA,,,,,,,left_only
7300,Philippe de Carteret II,Jersey,737014330,Start,,,,,,,left_only
7317,Patrice Nisbett,Saint Kitts and Nevis,737165159,Stub,,,,,,,left_only
7319,Ashley Greenwood,Montserratian,737169369,Start,,,,,,,left_only
7333,John Sweet Distin,Cape Colony,737348283,Start,,,,,,,left_only
7357,François Nicéphore Kakese,"Congo, Dem. Rep. of",737533634,Stub,,,,,,,left_only
7366,Hubert Ripka,Czech Republic,737562321,Start,,,,,,,left_only
7394,João Viegas Carrascalão,East Timorese,737687072,Start,,,,,,,left_only
7608,Tangaroa Tangaroa,Cook Island,737975585,Start,,,,,,,left_only
7672,David Rodríguez Rivera,Salvadoran,738362225,Start,,,,,,,left_only
7675,Slobodan Bogoevski,Macedonia,738375479,Stub,,,,,,,left_only
7682,Ministry of Environment and Physical Planning,Macedonia,738431228,Stub,,,,,,,left_only
7777,Mihael Preiss,Carniolan,738955897,Stub,,,,,,,left_only
7802,Lealailepule Rimoni Aiafi,Samoan,738999542,Start,,,,,,,left_only
7833,Va'ai Papu Vailupe,Samoan,739170575,Start,,,,,,,left_only
7834,Palusalue Fa’apo II,Samoan,739170586,Start,,,,,,,left_only
7835,Tolofuaivalelei Falemoe Lei’ataua,Samoan,739170620,Start,,,,,,,left_only
7836,A'eau Peniamina,Samoan,739170646,Start,,,,,,,left_only
7837,Patu Ativalu,Samoan,739170663,Stub,,,,,,,left_only
7855,Charles Antrobus,Saint Vincent and the Grenadines,739296460,Stub,,,,,,,left_only
8025,Sua Sulu'ape Paulo II,Samoan,740773350,C,,,,,,,left_only
8057,Connétable (Jersey and Guernsey),Jersey,740998059,Start,,,,,,,left_only
8093,Carlos Ezeta,Salvadoran,741190933,Stub,,,,,,,left_only
8143,Tomáš Eduard Šilinger,Czech Republic,741588720,Stub,,,,,,,left_only
8162,Karel Lavrič,Carniolan,741794691,C,,,,,,,left_only
8163,Petr Janyška,Czech Republic,741798984,Stub,,,,,,,left_only
8233,Gunnar Martens,Greenlandic,742150479,Stub,,,,,,,left_only
8259,Andrés Ignacio Menéndez,Salvadoran,742279612,Stub,,,,,,,left_only
8262,Abraham Alvarenga Urbina,Hondura,742298045,Stub,,,,,,,left_only
8273,Alan J. H. Maclean,Jersey,742413962,Stub,,,,,,,left_only
8313,Raymond Ramazani Baya,"Congo, Dem. Rep. of",742707920,Stub,,,,,,,left_only
8322,Lyndon Trott,Guernsey,742737553,Stub,,,,,,,left_only
8341,Jonathan Le Tocq,Guernsey,742872067,Start,,,,,,,left_only
8342,Graham Dorey,Guernsey,742872751,Stub,,,,,,,left_only
8356,Alan Parastaev,Ossetian,743018109,Start,,,,,,,left_only
8363,Mulumba Lukoji,"Congo, Dem. Rep. of",743061455,Stub,,,,,,,left_only
8384,Gerardo Barrios,Salvadoran,743252984,Start,,,,,,,left_only
8401,Jana Juřenčáková,Czech Republic,743423675,Stub,,,,,,,left_only
8402,Simeon Aké,Ivorian,743428650,Start,,,,,,,left_only
8562,Tim Francis,Tokelauan,744394596,Stub,,,,,,,left_only
8589,Jaromír Nečas,Czech Republic,744448745,Stub,,,,,,,left_only
